fecha,monterrey,guadalupe,apodaca,sanNicolas,escobedo,juarez,santaCatarina,garcia,cadereyta,sanPedro,pesqueria,montemorelos,santiago,salinasVictoria,linares,zuazua,elCarmen,sabinasHidalgo,allende,cienegaDeF,galeana,drArroyo,generalTeran,generalBravo,china,aramberri,villaaldama,hidalgo,marin,hualahuises,cerralvo,losRamones,lampazos,anahuac,abasolo,mierYnoriega,drCoss,iturbide,losHerreras,paras,mina,higueras,bustamante,agualeguas,drGonzales,gralZaragoza,gralTreviño,vallecillo,losAldamas,mOcampo,rayones,otrosEstados
05/22,441,387,271,105,119,142,72,58,37,94,20,8,7,11,7,6,15,2,7,10,1,0,1,1,3,0,0,1,7,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,51
05/23,460,411,288,113,122,150,75,61,38,95,22,8,7,11,7,7,16,2,7,10,6,0,1,1,3,0,0,1,7,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,52
05/24,501,427,305,121,131,159,78,62,39,104,23,11,10,13,7,7,17,3,7,10,8,0,2,1,4,0,0,1,7,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,53
05/25,513,437,313,125,134,162,80,63,40,104,24,12,10,13,7,7,18,3,8,12,8,0,2,1,4,0,0,1,7,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,54
05/26,538,467,336,133,138,165,86,65,41,109,27,12,11,15,8,7,18,3,8,13,12,0,2,1,4,0,0,1,11,0,0,0,0,1,1,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,54
05/27,553,477,349,136,140,169,86,65,42,110,28,12,11,15,8,9,18,3,8,13,12,0,2,1,4,0,0,1,11,0,0,0,0,1,1,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,54
05/28,584,501,366,145,144,184,89,66,45,110,31,12,11,18,8,9,20,5,8,13,12,0,2,1,5,0,0,1,11,0,0,0,0,1,1,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,56
05/29,627,521,378,164,175,191,92,71,46,110,32,12,11,20,8,12,22,12,8,13,12,0,2,1,5,0,0,1,11,0,0,0,0,1,1,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,62
05/30,641,534,398,165,177,204,96,73,46,112,33,13,11,20,12,17,22,14,9,13,13,0,2,1,5,2,0,1,11,0,0,0,0,1,1,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,63
05/31,667,548,404,169,181,207,109,82,52,122,34,13,11,20,12,18,22,16,9,13,13,0,2,1,6,2,0,1,11,0,0,0,0,1,1,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,64
